影片名,链接,上映日期,影片类型,地区,关注者
克拉和玛依历险记,https://movie.douban.com/subject/36141831/,03月22日,儿童 / 动画 / 冒险,中国大陆,24人
铃芽之旅,https://movie.douban.com/subject/35371261/,03月24日,爱情 / 动画 / 奇幻,日本,115624人
不止不休,https://movie.douban.com/subject/34833851/,03月24日,剧情,中国大陆,58875人
生无可恋的奥托,https://movie.douban.com/subject/27150277/,03月24日,剧情 / 喜剧,瑞典,18108人
望道,https://movie.douban.com/subject/35275659/,03月24日,剧情 / 历史,中国大陆,8028人
方寸之爱,https://movie.douban.com/subject/30132778/,03月25日,喜剧 / 爱情,印度,2572人
龙与地下城：侠盗荣耀,https://movie.douban.com/subject/26584673/,03月31日,动作 / 奇幻 / 冒险,美国,11505人
印度制造,https://movie.douban.com/subject/30157153/,03月31日,剧情 / 喜剧,印度,10075人
了不起的夜晚,https://movie.douban.com/subject/35814176/,03月31日,喜剧 / 惊悚,中国大陆,8472人
哈里斯夫人闯巴黎,https://movie.douban.com/subject/35220828/,03月31日,剧情 / 喜剧,英国,8179人
忠犬八公,https://movie.douban.com/subject/26999802/,03月31日,剧情,中国大陆,6910人
逃出白垩纪,https://movie.douban.com/subject/35197766/,03月31日,剧情 / 动作 / 科幻,美国,5946人
宇宙探索编辑部,https://movie.douban.com/subject/34941536/,04月01日,喜剧 / 科幻,中国大陆,154488人
一杯上路,https://movie.douban.com/subject/34913315/,04月01日,剧情 / 爱情,中国香港,3515人
不能错过的只有你,https://movie.douban.com/subject/36213001/,04月01日,剧情 / 爱情,中国大陆,150人
梦想森林,https://movie.douban.com/subject/35172546/,04月01日,剧情 / 儿童 / 家庭,中国大陆,63人
泰坦尼克号,https://movie.douban.com/subject/1292722/,04月03日,剧情 / 爱情 / 灾难,美国,259326人
名侦探柯南：贝克街的亡灵,https://movie.douban.com/subject/2286642/,04月04日,动画 / 冒险 / 悬疑,日本,33742人
超级马力欧兄弟大电影,https://movie.douban.com/subject/27199894/,04月05日,喜剧 / 爱情 / 科幻,美国,12280人
灵魂电台,https://movie.douban.com/subject/27624755/,04月05日,爱情 / 悬疑 / 惊悚,中国大陆,41人
